No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Total Cost,"Contribution (Local Community, LA, and the project)",Time frame for the implementation
1,498B,Agappala,1. Soil conservation practices - Agappala  (75°),1,On,7.148087,80.743162,16,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   4, 000, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
2,498B,Agappala,2. Soil conservation practices - Hewan Idala reservation  (60°),4,On,7.146166,80.743736,4,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   1, 000, 000.00 ",,Labour and other basic services by the Local community,0.25 Years
3,498B,Agappala,3. Soil conservation practices - Agappala  (50°),5,On,7.143119,80.744862,64,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  16, 000, 000.00 ","  21, 000, 000.00 ",Labour and other basic services by the Local community,1 Year
4,501A,Bulugahapitiya,1. Soil conservation practices - Bulugahapitiya  (65°),2,On,7.12225,80.774756,1.6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  400, 000.00 ",,Labour and other basic services by the Local community,0.25 Years
5,501A,Bulugahapitiya,2. Establishing a retaining wall,5,Off,7.125278,80.774236,20 m x 1.2 m,Retaining wall,"2, 000.00 m-2","    48, 000.00 ",,Labour and other basic services by the Local community,0.25 Years
6,501A,Bulugahapitiya,3. Establishing a retaining wall,1,Off,7.125824,80.774102,400 m x 1.2 m,Retaining wall,"2, 000.00 m-2","  960, 000.00 ","   1, 408, 000.00 ",Labour and other basic services by the Local community,0.5 Years
7,502B,Diggalpotta,1. Renovation of natural drains - Orukadawela Kadura,2,Off,7.155322,80.757448,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"  200, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
8,502B,Diggalpotta,2. Soil conservation practices - Diggalpoththa  (40°),1,On,7.155416,80.757537,0.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  200, 000.00 ",,Labour and other basic services by the Local community,0.25 Years
9,502B,Diggalpotta,3. Soil conservation practices - Hapuwalaheena  (65°),1,On,7.156829,80.757249,10 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   2, 500, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
10,502B,Diggalpotta,4. Soil conservation practices - Gal Wala  (85°),1,On,7.160552,80.757084,0.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  125, 000.00 ",,Labour and other basic services by the Local community,0.25 Years
11,502B,Diggalpotta,5. Soil conservation practices - Nikathenna  (70°),5,On,7.150873,80.754212,0.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  125, 000.00 ","   3, 150, 000.00 ",Labour and other basic services by the Local community,"0.25 Years
0.5 Years"
12,502,Ekiriya,1. Renovation of natural drains - Hunugala Oya,4,Off,7.145768,80.76106,1.6 km,Planting some trees along the banks and other conservation practices,,"  160, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
13,502,Ekiriya,2. Renovation of natural drains - Stream starts from Abethota Ulpatha,4,Off,7.1443194,80.756882,200 m,Planting some trees along the banks and other conservation practices,,"    20, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
14,502,Ekiriya,3. Renovation of natural drains - Yakkawana Kuda Oya (Hunugal Oya),3,Off,7.146899,80.75864097,3 km,Planting some trees along the banks and other conservation practices,,"  300, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
15,502,Ekiriya,4. Soil conservation practices - Etambilla (60°),1,On,7.147315,80.757897,16 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   4, 000, 000.00 ","   4, 480, 000.00 ",Labour and other basic services by the Local community,0.5 Years
16,501E,Enasal Arawa,1. Renovation of natural drains - Patti Arawa Oya,1,Off,7.122472,80.768008,3 km,Planting some trees along the banks and other conservation practices,,"  300, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
17,501E,Enasal Arawa,2. Renovation of natural drains - Mirith Hena Kadura,1,Off,7.120214,80.769448,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"  300, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
18,501E,Enasal Arawa,3. Renovation of natural drains - Naaya Kadura,4,Off,7.121893,80.766795,350 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"    35, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
19,501E,Enasal Arawa,4. Renovation of natural drains - Kumara Pihilla Kadura (Enasal Arawa),1,Off,7.11568,80.76968,1.3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"  130, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
20,501E,Enasal Arawa,5. Renovation of natural drains - Panwaththa Oya,4,Off,7.124668,80.766847,1.2 km,Planting some trees along the banks and other conservation practices,,"  120, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
21,501E,Enasal Arawa,6. Renovation of natural drains - Panwaththa Oya Kadura,5,Off,7.125043,80.766855,1.2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"  120, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
22,501E,Enasal Arawa,7. Renovation of natural drains - Panwaththa Oya Mala Kadura,5,Off,7.125043,80.766855,900 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"    90, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
23,501E,Enasal Arawa,8. Renovation of natural drains - Nelliwala Mala Kadura,5,Off,7.125158,80.768046,900 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"    90, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
24,501E,Enasal Arawa,9. Renovation of natural drains - Karalain Waththa Kadura,1,Off,7.120396,80.771882,800 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"    80, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
25,501E,Enasal Arawa,10. Renovation of natural drains - Enasal Arawa Kadura,4,Off,7.116247,80.769949,1.2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"  120, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
26,501E,Enasal Arawa,11. Soil conservation practices - Enasal Arawa (60°),4,On,7.120214,80.769448,6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   1, 500, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
27,501E,Enasal Arawa,12. Soil conservation practices - Enasal Arawa (45°),2,On,7.12023,80.769017,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   1, 000, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
28,501E,Enasal Arawa,13. Soil conservation practices - Panwaththa (60°),1,On,7.12517,80.766762,3.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  800, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
29,501E,Enasal Arawa,14. Soil conservation practices - Panwaththa (60°),1,On,7.124603,80.767913,14 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   3, 500, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
30,501E,Enasal Arawa,15. Soil conservation practices - Enasal Arawa (55°),5,On,7.125382,80.768584,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   1, 000, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
31,501E,Enasal Arawa,16. Establishing a rubble masonry wall,3,On,7.122053,80.767456,8 m x 3 m,Retaining wall/Rubble masonry wall,"2, 000.00 m-2","    48, 000.00 ","   9, 233, 000.00 ",Labour and other basic services by the Local community,0.25 Years
32,502A,Hapugasdeniya,1. Renovation of natural drains - Orukadawela Kadura,1,Off,7.155678,80.757977,2.05 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"  200, 500.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
33,502A,Hapugasdeniya,2. Renovation of natural drains - Daba Kadura,5,Off,7.154552,80.763077,4 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"  400, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
34,502A,Hapugasdeniya,3. Soil conservation practices - Damakadura reservation (60°),4,On,7.154485,80.763058,2.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  700, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
35,502A,Hapugasdeniya,4. Soil conservation practices - Deekirilla reservation (65°),2,On,7.15736,80.762965,2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  500, 000.00 ","   1, 800, 500.00 ",Labour and other basic services by the Local community,0.5 Years
36,499B,Karamidula,1. Renovation of natural drains - Pussalla Oya,4,Off,7.12312,80.74514,1 km,Planting some trees along the banks and other conservation practices,,"  100, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
37,499B,Karamidula,2. Renovation of natural drains - Pussal Oya,4,Off,7.125048,80.749506,1.3 km,Planting some trees along the banks and other conservation practices,,"  130, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
38,499B,Karamidula,3. Renovation of natural drains - Mala Kadura starting from Baduluwel Kanda,4,Off,7.12862,80.748129,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"    30, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
39,499B,Karamidula,4. Renovation of natural drains - Karamidula,4,Off,7.12512,80.746037,350 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"  350, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
40,499B,Karamidula,5. Renovation of natural drains - Dara Oya,3,Off,7.125223,80.745739,1.5 km,Planting some trees along the banks and other conservation practices,,"  150, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
41,499B,Karamidula,5. Soil conservation practices - Karamidula (70°),5,On,7.124004,80.745206,7 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   1, 750, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
42,499B,Karamidula,6. Soil conservation practices - Karamidula (60°) (50 m above from this point),1,On,7.123365,80.747663,6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   1, 500, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
43,499B,Karamidula,7. Soil conservation practices - Reservation (85°),1,On,7.122929,80.747746,2.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  700, 000.00 ",,Labour and other basic services by the Local community,0.25 Years
44,499B,Karamidula,4. Soil conservation practices - Karamidula (60°),3,On,7.126702,80.748352,0.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  200, 000.00 ","   4, 910, 000.00 ",Labour and other basic services by the Local community,0.25 Years
45,501D,Kawatayamana,1. Renovation of natural drains - Stream starts from Rahathungoda Ulpatha,1,Off,7.11164,80.771475,1.05 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"  100, 500.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
46,501D,Kawatayamana,2. Soil conservation practices - Kawatayamana (45°),1,On,7.115856,80.772725,1.6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  400, 000.00 ",,Labour and other basic services by the Local community,0.25 Years
47,501D,Kawatayamana,3. Soil conservation practices - Kawatayamana (50°),1,On,7.1153,80.773152,2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  500, 000.00 ",,Labour and other basic services by the Local community,0.25 Years
48,501D,Kawatayamana,4. Soil conservation practices - Kawatiyamana Finus Kanda (60°),5,On,7.113843,80.772556,2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  500, 000.00 ",,Labour and other basic services by the Local community,0.25 Years
49,501D,Kawatayamana,5. Soil conservation practices - Rahathungoda Waththa  (50°),5,On,7.111656,80.771402,4.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   1, 200, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
50,501D,Kawatayamana,6. Soil conservation practices - Kawatayamana (65°),4,On,7.112917,80.776929,0.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  200, 000.00 ","   2, 900, 500.00 ",Labour and other basic services by the Local community,0.25 Years
51,500D,Kosgaha Debala,1. Renovation of natural drains - Ma Oya,3,Off,7.155688,80.743876,3 km,Planting some trees along the banks and other conservation practices,,"  300, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
52,500D,Kosgaha Debala,2. Renovation of natural drains - Mala Kadura ends  from Ma Oya,4,Off,7.156581,80.742731,5.4 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"  540, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
53,500D,Kosgaha Debala,3. Renovation of natural drains - Stream of Gal linda reservation,4,Off,7.15921,80.74733,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"  100, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
54,500D,Kosgaha Debala,4. Soil conservation practices - Beeriella reservation (70°) -  (15m above from the given point),1,On,7.159315,80.743091,8.4,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   2, 100, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
55,500D,Kosgaha Debala,5. Soil conservation practices - Gallida reservation (45°),5,On,7.159313,80.746875,0.8,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  200, 000.00 ",,Labour and other basic services by the Local community,0.25 Years
56,500D,Kosgaha Debala,6. Soil conservation practices - Kosgaha Debala (40°),4,On,7.157259,80.744403,8,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   2, 000, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
57,500D,Kosgaha Debala,7. Soil conservation practices - Kosgaha Debala (30°),4,On,7.157259,80.744403,0.8,"Lock and spills
Stone terracing/live fencing, as applied",400.00 m-1,"  320, 000.00 ",,Labour and other basic services by the Local community,0.25 Years
58,500D,Kosgaha Debala,8. Soil conservation practices - Kosgaha Debala (85°),4,On,7.159334,80.747267,0.4,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  100, 000.00 ","   5, 660, 000.00 ",Labour and other basic services by the Local community,0.25 Years
59,498F,Labuhena,1. Renovation of natural drains - Mahathenna Ulpatha Kadura,1,Off,7.143296,80.772439,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"  200, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
